id,label,x,y,z
106,7Networks_RH_Vis_6,11.37386018237082,-92.19655521783181,-5.031408308004046
107,7Networks_RH_Vis_7,16.35924932975871,-46.14477211796246,-1.404825737265412
108,7Networks_RH_Vis_8,30.27069133398247,-93.55793573515092,-3.8130477117818913
109,7Networks_RH_Vis_9,8.48812664907652,-75.02110817941953,8.131926121372032
110,7Networks_RH_Vis_10,21.29100529100529,-59.94708994708995,7.48677248677248
111,7Networks_RH_Vis_11,42.31360946745562,-79.79881656804733,9.627218934911241
112,7Networks_RH_Vis_12,19.437395659432383,-90.21202003338898,21.449081803005015
113,7Networks_RH_Vis_13,11.303074670571007,-73.77159590043924,25.443631039531482
114,7Networks_RH_Vis_14,16.20434782608696,-84.66086956521738,39.42173913043479
115,7Networks_RH_Vis_15,32.406403940886705,-74.5960591133005,31.871921182266007
116,7Networks_RH_SomMot_1,51.80000000000001,-14.446666666666673,5.306666666666672
117,7Networks_RH_SomMot_2,63.66415094339624,-23.47924528301887,7.37358490566038
118,7Networks_RH_SomMot_3,38.41361256544502,-13.287958115183244,14.581151832460733
119,7Networks_RH_SomMot_4,44.02525252525251,-26.686868686868692,18.065656565656568
120,7Networks_RH_SomMot_5,59.01075268817203,0.5519713261648747,10.931899641577061
121,7Networks_RH_SomMot_6,56.69387755102042,-11.476190476190482,14.435374149659864
122,7Networks_RH_SomMot_7,57.472041612483736,-4.975292587776337,30.182054616384917
123,7Networks_RH_SomMot_8,9.44769874476988,-15.037656903765694,41.163179916317986
124,7Networks_RH_SomMot_9,50.89699570815452,-22.412017167381975,51.83690987124463
125,7Networks_RH_SomMot_10,46.680100755667496,-11.012594458438286,48.08060453400503
126,7Networks_RH_SomMot_11,6.997849462365593,-10.93763440860215,51.64301075268817
127,7Networks_RH_SomMot_12,39.19327731092437,-23.680672268907557,57.456582633053216
128,7Networks_RH_SomMot_13,31.673913043478265,-40.55072463768116,63.36231884057972
129,7Networks_RH_SomMot_14,31.98859315589354,-19.741444866920148,64.39163498098858
130,7Networks_RH_SomMot_15,28.982206405693944,-34.071174377224196,65.33807829181495
131,7Networks_RH_SomMot_16,22.288343558282207,-8.815950920245399,67.19018404907976
132,7Networks_RH_SomMot_17,10.203208556149733,-39.07486631016043,68.73796791443851
133,7Networks_RH_SomMot_18,6.904624277456648,-23.28323699421965,67.25144508670519
134,7Networks_RH_SomMot_19,20.016129032258064,-29.58870967741936,70.0
135,7Networks_RH_DorsAttn_Post_1,50.30962343096235,-53.17322175732218,-15.079497907949794
136,7Networks_RH_DorsAttn_Post_2,51.59876543209876,-59.572016460905346,9.559670781893004
137,7Networks_RH_DorsAttn_Post_3,59.66047745358091,-16.684350132625994,34.36604774535809
138,7Networks_RH_DorsAttn_Post_4,46.23008849557522,-36.93362831858407,48.59734513274336
139,7Networks_RH_DorsAttn_Post_5,41.548076923076934,-31.370192307692307,46.14903846153847
140,7Networks_RH_DorsAttn_Post_6,14.956331877729255,-73.117903930131,52.91266375545851
141,7Networks_RH_DorsAttn_Post_7,34.68468468468468,-47.906306306306305,50.81801801801802
142,7Networks_RH_DorsAttn_Post_8,26.274004683840744,-61.28103044496487,57.978922716627636
143,7Networks_RH_DorsAttn_Post_9,8.542974079126878,-55.93451568894952,61.31241473396997
144,7Networks_RH_DorsAttn_Post_10,21.365289256198352,-48.14545454545454,70.33388429752065
145,7Networks_RH_DorsAttn_FEF_1,34.329365079365076,-4.535714285714292,52.51587301587301
146,7Networks_RH_DorsAttn_FEF_2,25.968354430379748,7.091772151898738,57.66139240506328
147,7Networks_RH_DorsAttn_PrCv_1,51.36185819070906,10.577017114914412,20.369193154034235
148,7Networks_RH_SalVentAttn_TempOccPar_1,56.97142857142856,-45.31020408163265,9.40408163265306
149,7Networks_RH_SalVentAttn_TempOccPar_2,60.04603580562659,-38.58823529411765,16.64450127877238
150,7Networks_RH_SalVentAttn_TempOccPar_3,60.04411764705881,-26.1953781512605,27.773109243697476
151,7Networks_RH_SalVentAttn_PrC_1,50.79506172839507,3.5999999999999943,40.37530864197531
